price,space,room,bedroom,furniture,latitude,longitude
32500,28.0,1,1,0,41.7245209,44.7537885
26500,63.0,3,2,0,41.54309,45.0112804
78000,72.0,3,1,1,41.6895023,44.8200504
47700,53.0,2,1,0,41.6770838,44.8172216
72000,80.0,3,2,0,41.6828831,44.8238154
48000,60.0,2,1,0,41.7687623,44.724123229951
56000,74.0,2,1,0,41.6828831,44.8238154
45600,57.0,2,1,0,41.7307343,44.7439254
38000,50.0,2,1,0,41.7245209,44.7537885
48400,96.1,3,1,0,41.785727745895,44.762711730905
130400,76.7,3,2,0,41.7914713,44.67241249391
70000,100.0,2,1,0,41.74850380596811,44.84168645234584
114000,90.0,3,2,1,41.725054,44.7545015
40200,74.9,3,2,0,41.7903068,44.7593516
59000,74.0,4,2,0,41.787974518638,44.762217985437
76000,82.1,3,2,1,41.7260323,44.7995087
45000,50.0,2,1,0,41.7245209,44.7537885
34200,52.6,2,1,0,41.6828831,44.8238154
106400,145.7,4,3,0,41.6866598,44.8379845
69800,85.0,3,2,0,41.7335333,44.798583
26000,65.0,3,2,0,41.686929178108,44.884552615402
47000,32.0,1,1,1,41.707003,44.7749574
25400,43.0,2,1,0,41.779419187026,44.814856415019
80000,62.3,2,1,1,41.7245209,44.7537885
68000,60.0,3,2,1,41.7211627,44.7805689
24500,42.0,2,1,0,41.779375836224,44.814868561856
35500,52.0,2,1,0,41.7850018,44.7553366
140000,80.0,3,2,1,41.7037033,44.7724816
47000,95.0,3,2,0,41.6755322,44.8389753
75000,70.0,3,2,1,41.7245209,44.7537885
75000,70.0,3,2,1,41.7245209,44.7537885
68000,103.0,5,3,1,41.7341813,44.728036935007
65000,110.0,4,3,1,41.7206004,44.7232035
150000,97.0,3,2,1,41.7103479,44.782901
47000,54.0,2,1,1,41.707666,44.7839348
67000,64.0,3,2,0,41.7206004,44.7232035
44000,80.0,2,1,0,41.765275827093,44.775506089983
128000,187.0,5,4,1,41.7874621,44.749969
145000,168.0,5,3,1,41.7013668,44.7687247
180000,180.0,4,3,1,41.7223038,44.78088
58000,57.0,2,1,1,41.7245209,44.7537885
66000,65.0,2,1,0,41.7245209,44.7537885
70000,110.0,8,3,0,41.793656951009,44.821647644502
270000,170.0,5,3,0,41.6922643,44.7968981
125000,133.0,3,2,1,41.720015,44.7407348
220000,200.0,6,4,1,41.7098004,44.7848337
119000,120.0,3,2,1,41.7103615,44.7284963
110000,94.0,3,2,1,41.7141725,44.7596077
116000,97.0,3,2,0,41.7098352,44.7730487
75000,70.0,3,2,1,41.737431462434,42.832372853644
105000,68.0,2,1,1,41.725054,44.7545015
110000,130.0,4,3,1,41.7211627,44.7805689
70000,106.0,4,3,0,41.7080349,44.8590477
120000,115.0,3,2,1,41.7260891,44.7744363
82000,120.0,4,2,0,41.7245209,44.7537885
89000,81.0,3,2,1,41.738955748071,44.780849339305
72000,70.0,3,2,0,41.7245209,44.7537885
149600,209.2,4,3,0,41.6864362,44.82367
106400,145.7,4,3,0,41.69230965,44.8215410733055
99600,138.4,3,2,0,41.6866598,44.8379845
75500,96.0,3,2,0,41.719203022265,44.766260350378
75000,100.0,4,3,0,41.6866598,44.8379845
125000,98.5,4,3,1,41.6828966409451,44.82326824849122
80800,113.0,3,3,0,41.69230965,44.8215410733055
40000,62.0,2,1,1,41.7341813,44.728036935007
68000,61.0,2,1,0,41.7260891,44.7744363
51000,73.0,3,2,0,41.7260323,44.7995087
69500,96.5,3,2,0,41.6866598,44.8379845
78000,106.8,3,3,0,41.6835977,44.835621
55000,55.0,3,2,1,41.731137358932,44.76761744615
110000,116.0,3,2,1,41.7210455,44.7405122
100000,65.0,3,2,1,41.7128448,44.7605542
25500,48.0,2,1,0,41.54309,45.0112804
78000,80.0,3,2,1,41.7267227,44.786055
42000,60.0,2,1,0,41.7800855,44.7796584
155000,170.0,5,3,1,41.716068,44.7854635
37000,105.0,2,1,1,41.77670058780362,44.80865797130119
85000,69.0,2,1,0,41.7249652,44.7765248
33600,65.0,2,1,0,41.6921919,44.837163856355
91000,91.0,4,3,0,41.707897,44.731694452423
95000,118.0,4,2,1,41.717140667759736,44.771084095367996
85000,80.0,3,2,1,41.730843724576,44.73794592739
92000,102.0,3,2,0,41.703737831241,44.767565985702
82500,75.0,2,1,1,41.7103615,44.7284963
80000,61.0,3,2,1,41.71114765,44.794782256515
78500,70.0,2,1,1,41.7077917,44.7645692
73000,53.0,2,1,1,41.722811,44.7509454
78500,80.0,2,1,1,41.7103615,44.7284963
55000,65.0,2,1,0,41.7172959,44.7752025
30500,42.3,2,1,0,41.6379926,41.613705478307
31000,45.0,2,1,1,41.7022129,44.7856469
65000,74.0,3,2,1,41.7093734,44.7698209
56000,52.0,3,2,1,41.73188365,44.836876299366
90000,87.0,3,2,0,41.6828831,44.8238154
85000,72.0,2,1,0,41.7245209,44.7537885
220000,200.0,6,4,0,41.7081011,44.7696196
130000,60.0,2,1,1,41.7245209,44.7537885
58000,87.0,3,2,1,41.7206103,44.7106871
40000,88.0,3,2,0,41.8068798,44.8300802
22600,50.13,2,1,0,41.6509502,41.6360085
46500,70.0,2,1,0,41.7282988,44.733134
30000,34.0,2,1,0,41.72447122207191,44.7922927584751
55000,53.0,2,1,1,41.7245209,44.7537885
65000,76.0,3,2,0,41.73188365,44.836876299366
48000,51.0,2,1,0,41.7206004,44.7232035
70000,53.0,2,1,0,41.7240689,44.7299815
103000,107.0,4,2,0,41.73188365,44.836876299366
160000,128.0,4,2,0,41.6905169,44.7980186
72000,70.0,3,2,1,41.7245209,44.7537885
117000,97.82,3,2,1,41.77159297185159,44.77747472216265
99900,111.0,4,2,0,41.6914756,44.8049127
51500,77.0,2,1,0,41.7264095,44.7228375
40000,100.0,4,3,1,43.042390464828,42.718233099047
24500,31.0,2,1,0,41.688172,44.8311761
75000,60.0,3,2,0,41.73188365,44.836876299366
55000,69.0,2,1,0,41.7679459,44.7677435
82000,87.0,3,2,1,41.725054,44.7545015
24500,45.0,2,1,0,41.7013668,44.7687247
60000,40.0,2,1,1,41.7040297,44.7902278
55000,55.0,3,2,0,41.7024835,44.8069652
58000,60.0,2,1,0,41.7704323,44.7748777
14000,35.0,1,1,0,41.688390797589,44.883605557186
