train_A,train_B
-0.8665145,-2.6243734
-0.9010656,0.19191176
-0.89089704,0.35140142
-0.097602434,0.351016
-0.8885216,-2.5963619
0.003983489,-1.0101435
0.4386934,-0.27610683
-0.9725027,-2.670085
-0.84997344,-0.022858895
0.3263429,0.052722335
0.18219687,0.21993452
-1.1022935,0.84801537
-1.1388532,0.8088991
-2.58681,-2.688328
-1.1146055,0.20631796
-0.25804713,-0.06849175
0.80229545,0.022651985
0.12644684,0.26531872
-0.8473019,0.2687725
0.32232398,0.11554282
-1.8676976,0.46428984
-0.39441463,0.50671107
0.04738093,0.17371617
0.8396307,0.139918
-0.8833916,0.22112916
-0.89273936,0.33554304
-1.1036159,0.9228812
-0.596667,-2.6215658
1.1783762,0.12503394
0.03494633,0.1300815
0.30061668,0.47350103
-0.9863818,0.1522665
-0.9974331,0.93179584
-0.07814895,0.68912053
-1.1535332,0.48305297
2.3569965,-0.13286528
-0.17027569,0.31211075
-1.0006578,0.2524964
0.431975,0.17809556
-1.943194,-2.5405521
-0.63618153,0.061592545
1.5027206,-0.073435865
-1.0161254,0.7200894
0.24532716,0.14133199
-1.1156298,0.037651114
2.0030427,-0.9366466
0.28303495,-0.08633983
0.119609475,0.20875588
-0.026669402,0.33734673
-0.28053352,0.6599716
1.934249,-0.27706543
-1.0069988,0.084183656
0.2894893,-3.0891814
-2.6506605,-2.5071774
-1.0083809,0.2506015
-2.6790633,-2.3424413
-0.30466947,0.9253561
0.03786927,0.6623683
-0.6914936,0.2168459
2.0556254,0.38711023
0.018227596,0.3398776
0.7294897,-0.009883249
-0.8194253,0.22771326
-1.0325342,0.56144375
0.018216662,0.23025692
3.916104,-0.461354
-1.0788829,0.25991246
0.57681316,0.054578155
-0.44598848,0.6535584
-1.7900782,-2.5063581
-0.07423346,0.5152739
-0.25755715,-0.027344491
-0.9112109,0.15342607
0.19133933,0.3039565
-0.89230883,0.048423067
0.6482231,0.028865328
-0.83088005,0.55974734
0.70940214,-0.41187203
-1.8530427,-2.4638002
-0.9755768,0.36622542
0.57375914,0.64514697
0.10986135,0.21455729
0.62897134,0.038554024
-0.9652905,0.1331838
-0.70931405,0.9089849
-1.0148658,0.982064
1.4180081,0.028215203
-1.4693834,3.0288413
-0.15827233,0.7882292
-0.781732,1.3316213
0.27512142,0.18816358
-0.7320908,0.28600737
0.4294138,0.10228603
-0.8962556,-2.6449354
-0.6518906,-2.8572547
-1.1044935,0.9781878
-1.0061259,-2.5492945
-1.009013,0.72771627
0.5895142,0.12206569
2.5124364,-0.26531613
-1.075801,0.40266228
-0.07361982,0.095109776
-0.0793224,0.16207223
0.34376577,0.14974856
2.5303385,-0.18118957
0.41308996,0.07410566
-0.08329505,0.3338617
-1.2110641,0.818248
0.9278916,0.02392358
-0.8760593,0.20465897
-1.2211802,0.37446973
2.944518,-1.9918525
1.2502064,0.05936177
-0.8275644,0.15759678
-1.9377736,-2.6740851
-0.95589185,0.028263852
-0.9117935,0.34955722
1.383894,0.030607952
1.0752556,0.5869491
0.096028276,0.11312631
0.10694285,-0.21430148
2.1595802,-0.13360032
-0.19470379,0.03870463
0.1758014,0.7456227
1.3589815,0.019650817
-0.72793883,0.43014896
1.9519963,-0.0036750103
-1.0303878,0.5913501
0.11305169,0.022214051
0.32911867,-0.010335014
-0.9306304,0.2842669
0.048690986,0.2536605
1.7659639,-0.09795329
0.110974625,-2.6890287
0.18838708,0.14824094
0.92786616,0.16047071
-0.7364202,0.24895991
-0.9606858,0.24003047
-0.2123344,0.78952163
-0.8162322,0.12455409
-0.39245245,0.8427658
-0.66466653,0.11362177
-1.4252311,-2.1351392
-0.26624718,0.7405223
4.071497,-0.12717867
0.4979145,-2.7286315
0.6656373,0.008907755
-0.04127327,0.19785918
0.48283586,0.054571994
-1.2073406,0.1659155
-1.0104799,0.2658987
-2.1904771,-0.14252296
1.9339556,-0.13790183
-0.982005,-2.6359487
0.1429972,0.15542664
-1.8211415,0.13138838
-1.8460724,-2.4406097
-0.8927958,0.35309005
-0.91335917,0.2372109
0.14553003,-2.683414
-0.2365122,0.117375284
-2.6292076,-2.5121393
-0.9553153,1.031559
-0.94543535,0.3565255
-1.9241222,0.3520685
0.92895293,-0.17514022
-1.7548096,-0.7987121
-0.95677996,0.43204677
-1.1496178,0.49808833
-0.8517479,-0.81054765
0.1343149,-0.026122214
0.21876495,0.08368916
-0.05492751,0.22083107
0.11226038,0.23002437
-0.73335177,-0.17155625
1.1017425,-0.1647025
0.013193005,0.23002939
-0.99954754,-2.5729277
0.024997966,0.28881982
1.1174957,-0.26195467
0.57482284,0.06694107
-0.93069845,0.25276813
-0.7863315,0.18216853
-0.9366547,-2.5577133
2.116524,0.024506293
-1.0633637,-2.6330554
-1.8195662,0.98701435
-0.34723297,0.20547265
1.6732473,-0.1831472
0.01237476,0.21011014
1.6211507,0.3963435
-2.0006282,1.0958042
-0.062026005,0.74385333
-0.9675096,0.33211178
1.9258399,-0.124862865
-0.9229926,-0.13815637
1.2572178,-2.8707561
-0.81024253,0.20936954
-0.2601946,0.29402125
-1.0118235,0.34234178
2.3815937,-0.97940695
-0.19061965,-0.058438756
0.83633345,-0.20250686
-0.1101082,0.19534057
3.3156803,-0.40277758
-0.9897564,0.2920205
-0.8088346,0.742907
1.7576754,0.03024636
-0.75321096,-0.13588805
0.61987525,0.16435115
-1.8226088,-2.573132
1.508006,-0.15941869
-0.92332137,0.21989268
-0.8578806,0.8750636
0.1458163,0.29646862
0.17413996,0.23970833
0.054830875,0.09554759
-1.2024244,0.3632067
-1.120494,0.93920714
-0.37357387,0.28728536
0.36671585,0.11527577
4.460386,-19.007212
-0.8993216,0.40067896
1.400409,-0.16451527
-0.07347462,-0.10456051
-0.94109297,0.39450827
1.5863265,-0.8689036
2.8126585,0.38525945
5.004562,-0.4107577
0.0384431,-0.043994416
-1.1553495,0.90597564
-0.54028094,0.17112316
-0.9624699,0.029071627
-0.98187894,0.8864458
0.019801324,0.48264682
1.0842744,0.17141087
-0.8093145,0.63570994
-1.0021198,0.25774816
3.5731094,-0.19053112
1.243476,-0.16012315
1.7764914,-0.007379273
3.5722957,-0.19057289
0.13172905,0.34707642
1.1122638,-0.047768008
0.5133769,0.11482697
-0.26483884,0.37303686
-2.0475113,0.39961728
0.21742141,0.23435901
